Price,Address,City,Province,Details,URL,Image File
"$699,900","29 Lazulite Drive,",Whitehorse,YT,3 bed 2 bath,https://www.zolo.ca/whitehorse-real-estate/29-lazulite-drive,images/29_Lazulite_Drive__Whitehorse__YT.jpg
"$259,000","114 Kitza Avenue,",Faro,YT,6 bed 2 bath,https://www.zolo.ca/faro-real-estate/114-116-kitza-avenue,images/114_Kitza_Avenue__Faro__YT.jpg
"$979,000","102 Leota Street,",Whitehorse,YT,6 bed 5 bath,https://www.zolo.ca/whitehorse-real-estate/102-leota-street,images/102_Leota_Street__Whitehorse__YT.jpg
"$1,149,900","92 Lynx Lane,",Whitehorse North,YT,3 bed 1 bath,https://www.zolo.ca/whitehorse-north-real-estate/92-lynx-lane,images/92_Lynx_Lane__Whitehorse_North__YT.jpg
"$2,500,000","382 Judas Creek Drive,",Whitehorse South,YT,– bed – bath,https://www.zolo.ca/whitehorse-south-real-estate/382-judas-creek-drive,images/382_Judas_Creek_Drive__Whitehorse_South__YT.jpg
"$609,900","5 Willow Acres,",Haines Junction,YT,5 bed 3 bath,https://www.zolo.ca/haines-junction-real-estate/5-willow-acres,images/5_Willow_Acres__Haines_Junction__YT.jpg
"$599,000","55 Judas Creek Drive,",Whitehorse South,YT,2 bed 2 bath,https://www.zolo.ca/whitehorse-south-real-estate/55-judas-creek-drive,images/55_Judas_Creek_Drive__Whitehorse_South__YT.jpg
"$370,000","27 Tagish Estates,",Whitehorse South,YT,– bed – bath,https://www.zolo.ca/whitehorse-south-real-estate/27-tagish-estates,images/27_Tagish_Estates__Whitehorse_South__YT.jpg
"$1,900,000","LOT-1075 Nisutlin Bay Yukon Estate,",Teslin,YT,– bed – bath,https://www.zolo.ca/teslin-real-estate/1075-nisutlin-bay-yukon-estate/lot,images/LOT_1075_Nisutlin_Bay_Yukon_Estate__Teslin__YT.jpg
"$320,000","101 Mackenzie Drive,",Out Of Area,ON,4 bed 2 bath,https://www.zolo.ca/out-of-area-real-estate/101-107-mackenzie-drive,images/101_Mackenzie_Drive__Out_Of_Area__ON.jpg
"$235,000","8 Tagish Estates,",Whitehorse South,YT,– bed – bath,https://www.zolo.ca/whitehorse-south-real-estate/8-tagish-estates,images/8_Tagish_Estates__Whitehorse_South__YT.jpg
"$1,500,000","1310 Tagish Road,",Whitehorse South,YT,3 bed 4 bath,https://www.zolo.ca/whitehorse-south-real-estate/1310-tagish-road,images/1310_Tagish_Road__Whitehorse_South__YT.jpg
"$649,999","27 Peel Road,",Whitehorse,YT,4 bed 2 bath,https://www.zolo.ca/whitehorse-real-estate/27-peel-road,images/27_Peel_Road__Whitehorse__YT.jpg
"$549,900","13 Klondike Road,",Whitehorse,YT,4 bed 3 bath,https://www.zolo.ca/whitehorse-real-estate/13-klondike-road,images/13_Klondike_Road__Whitehorse__YT.jpg
"$547,500","194 Witch Hazel Drive,",Whitehorse,YT,"3 bed ",,No Image Available
"$539,900","1381 Azalia Crescent,",Windsor,ON,3 bed 2 bath,https://www.zolo.ca/windsor-real-estate/1381-azalia-crescent,images/1381_Azalia_Crescent__Windsor__ON.jpg
"$499,900","385 Rosedale,",Windsor,ON,5 bed 2 bath,https://www.zolo.ca/windsor-real-estate/385-rosedale,images/385_Rosedale__Windsor__ON.jpg
"$549,900","2452 Pillette Road,",Windsor,ON,– bed – bath,https://www.zolo.ca/windsor-real-estate/2452-pillette-road,images/2452_Pillette_Road__Windsor__ON.jpg
"$549,900","2452 Pillette Road,",Windsor,ON,– bed – bath,https://www.zolo.ca/windsor-real-estate/2452-pillette-road,images/2452_Pillette_Road__Windsor__ON.jpg
"$399,999","1157 Pierre Avenue,",Windsor,ON,6 bed 2 bath,https://www.zolo.ca/windsor-real-estate/1157-pierre-avenue,images/1157_Pierre_Avenue__Windsor__ON.jpg
"$699,900","1557 Cypress,",Windsor,ON,3 bed 3 bath,https://www.zolo.ca/windsor-real-estate/1557-cypress,images/1557_Cypress__Windsor__ON.jpg
"$399,999","1157 Pierre Avenue,",Windsor,ON,6 bed 2 bath,https://www.zolo.ca/windsor-real-estate/1157-pierre-avenue,images/1157_Pierre_Avenue__Windsor__ON.jpg
"$749,999","2371 Barkley,",Windsor,ON,4 bed 3 bath,https://www.zolo.ca/windsor-real-estate/2371-barkley,images/2371_Barkley__Windsor__ON.jpg
"$429,000","950 Elsmere,",Windsor,ON,4 bed 2 bath,https://www.zolo.ca/windsor-real-estate/950-elsmere,images/950_Elsmere__Windsor__ON.jpg
"$549,000","3001 Dandurand,",Windsor,ON,4 bed 2 bath,https://www.zolo.ca/windsor-real-estate/3001-dandurand,images/3001_Dandurand__Windsor__ON.jpg
"$449,900","629-3370 Stella Crescent,",Windsor,ON,2 bed 2 bath,https://www.zolo.ca/windsor-real-estate/3370-stella-crescent/629,images/629_3370_Stella_Crescent__Windsor__ON.jpg
"$799,900","1003-5055 Riverside Drive East,",Windsor,ON,2 bed 2 bath,https://www.zolo.ca/windsor-real-estate/5055-riverside-drive-east/1003,images/1003_5055_Riverside_Drive_East__Windsor__ON.jpg
"$469,900","2642 Turner,",Windsor,ON,3 bed 1 bath,https://www.zolo.ca/windsor-real-estate/2642-turner,images/2642_Turner__Windsor__ON.jpg
"$389,999","1662 Cadillac Street,",Windsor,ON,5 bed 3 bath,https://www.zolo.ca/windsor-real-estate/1662-cadillac-street,images/1662_Cadillac_Street__Windsor__ON.jpg
"$699,900","3130 California Avenue,",Windsor,ON,3 bed 2 bath,https://www.zolo.ca/windsor-real-estate/3130-california-avenue,images/3130_California_Avenue__Windsor__ON.jpg
"$499,900","876 Eastlawn,",Windsor,ON,2 bed 2 bath,https://www.zolo.ca/windsor-real-estate/876-eastlawn,images/876_Eastlawn__Windsor__ON.jpg
"$599,900","1948 Ethan Court,",Windsor,ON,3 bed 3 bath,https://www.zolo.ca/windsor-real-estate/1948-ethan-court,images/1948_Ethan_Court__Windsor__ON.jpg
"$449,900","621 Brazil Avenue,",Windsor,ON,4 bed 2 bath,https://www.zolo.ca/windsor-real-estate/621-brazil-avenue,images/621_Brazil_Avenue__Windsor__ON.jpg
"$549,900","1021 Roselawn,",Windsor,ON,4 bed 2 bath,https://www.zolo.ca/windsor-real-estate/1021-roselawn,images/1021_Roselawn__Windsor__ON.jpg
"$249,900","786 Hildegarde,",Windsor,ON,2 bed 1 bath,https://www.zolo.ca/windsor-real-estate/786-hildegarde,images/786_Hildegarde__Windsor__ON.jpg
"$629,900","9590 Kerby,",Windsor,ON,3 bed 2 bath,https://www.zolo.ca/windsor-real-estate/9590-kerby,images/9590_Kerby__Windsor__ON.jpg
"$299,900","1184 Fairview,",Windsor,ON,2 bed 1 bath,https://www.zolo.ca/windsor-real-estate/1184-fairview,images/1184_Fairview__Windsor__ON.jpg
