"Price","Address","City","Province","Details","URL","Image File"
"$560,000","16 Baker Street,","Sudbury","ON","4 bed 2 bath","https://www.remax.ca/on/sudbury-real-estate/16-baker-street-wp_idm73000004-26686681-lst","No Image Available"
"$599,900","95 Cummins Lake RD,","Thunder Bay","ON","2 bed 1 bath","https://www.remax.ca/luxury/on/thunder-bay-real-estate/95-cummins-lake-rd-wp_idm73000004-27204942-lst","No Image Available"
"$1,499,900","7341 Dog Lake Road,","Jacques","ON","5 bed 4 bath","https://www.remax.ca/luxury/on/jacques-real-estate/7341-dog-lake-road-wp_idm73000004-27204943-lst","No Image Available"
"$749,900","107 Kantola,","Lively","ON","4 bed 3 bath","https://www.remax.ca/on/lively-real-estate/107-kantola-wp_idm73000004-27204922-lst","No Image Available"
"$799,900","19 Cranberry Court,","Lively","ON","6 bed 4 bath","https://www.remax.ca/on/lively-real-estate/19-cranberry-court-wp_idm73000004-27204309-lst","No Image Available"
"$989,000","101 SERVICE,","Greater Sudbury","ON","n/a bed 0 bath","https://www.remax.ca/on/greater-sudbury-real-estate/101-service-wp_idm73000004-27204311-lst","images/101_SERVICE__Greater_Sudbury__ON.jpg"
"$389,900","624 LAKESHORE Drive Unit# 12,","North Bay","ON","3 bed 2 bath","https://www.remax.ca/on/north-bay-real-estate/624-lakeshore-drive-unit-12-wp_idm73000004-27204504-lst","images/624_LAKESHORE_Drive_Unit__12__North_Bay__ON.jpg"
"$164,999","19 Ontario ST,","Marathon","ON","3 bed 2 bath","https://www.remax.ca/on/marathon-real-estate/19-ontario-st-wp_idm73000005-27204480-lst","images/19_Ontario_ST__Marathon__ON.jpg"
"$275,000","31 Laurier Ave,","Terrace Bay","ON","3 bed 1 bath","https://www.remax.ca/on/terrace-bay-real-estate/31-laurier-ave-wp_idm73000004-27204479-lst","images/31_Laurier_Ave__Terrace_Bay__ON.jpg"
"$249,900","104 Eastern AVE,","Sault Ste. Marie","ON","3 bed 1 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/104-eastern-ave-wp_idm73000004-27204430-lst","images/104_Eastern_AVE__Sault_Ste__Marie__ON.jpg"
"$564,900","488 SECOND Avenue W,","North Bay","ON","4 bed 4 bath","https://www.remax.ca/on/north-bay-real-estate/488-second-avenue-w-wp_idm73000004-27204175-lst","images/488_SECOND_Avenue_W__North_Bay__ON.jpg"
"$474,900","3729 Salmi RD,","Kaminstiquia","ON","3 bed 2 bath","https://www.remax.ca/on/kaminstiquia-real-estate/3729-salmi-rd-wp_idm73000004-27204336-lst","images/3729_Salmi_RD__Kaminstiquia__ON.jpg"
"$276,000","812 Christie Avenue,","Fort Frances","ON","3 bed 2 bath","https://www.remax.ca/on/fort-frances-real-estate/812-christie-avenue-wp_idm73000004-27204335-lst","No Image Available"
"$299,900","231 Fourth,","Lively","ON","2 bed 1 bath","https://www.remax.ca/on/lively-real-estate/231-fourth-wp_idm73000004-27204312-lst","No Image Available"
"$249,900","17 Angelina AVE,","Sault Ste. Marie","ON","3 bed 1 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/17-angelina-ave-wp_idm73000004-27204246-lst","No Image Available"
"$339,900","387 Cathcart ST,","Sault Ste. Marie","ON","n/a bed 0 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/387-cathcart-st-wp_idm73000004-27204320-lst","No Image Available"
"$59,000","PCL 624 SE Gordon Lake RD,","Johnson Township","ON","n/a bed 0 bath","https://www.remax.ca/on/johnson-township-real-estate/pcl-624-se-gordon-lake-rd-wp_idm73000004-27204321-lst","No Image Available"
"$350,000","77 Brompton Road,","Red Rock","ON","3 bed 1 bath","https://www.remax.ca/on/red-rock-real-estate/77-brompton-road-wp_idm73000004-27204288-lst","No Image Available"
"$280,000","29 Eagle DR,","Dryden","ON","3 bed 2 bath","https://www.remax.ca/on/dryden-real-estate/29-eagle-dr-wp_idm73000004-27204287-lst","No Image Available"
"$299,000","84 Broadview DR,","Sault Ste Marie","ON","3 bed 2 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/84-broadview-dr-wp_idm73000004-27204248-lst","No Image Available"
"$130,000","308 Finlayson ST,","Thunder Bay","ON","2 bed 2 bath","https://www.remax.ca/on/thunder-bay-real-estate/308-finlayson-st-wp_idm73000005-27204156-lst","No Image Available"
"$595,900","3 Sherbrook DR,","Sault Ste. Marie","ON","5 bed 3 bath","https://www.remax.ca/luxury/on/sault-ste-marie-real-estate/3-sherbrook-dr-wp_idm73000004-27204247-lst","No Image Available"
"$349,900","403 Sydenham RD,","Sault Ste. Marie","ON","3 bed 2 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/403-sydenham-rd-wp_idm73000004-27204146-lst","images/403_Sydenham_RD__Sault_Ste__Marie__ON.jpg"
"$375,000","332 Allan Street,","Coniston","ON","4 bed 2 bath","https://www.remax.ca/on/coniston-real-estate/332-allan-street-wp_idm73000004-27204143-lst","images/332_Allan_Street__Coniston__ON.jpg"
"$399,900","650A Sunset Beach RD,","Iron Bridge","ON","3 bed 1 bath","https://www.remax.ca/on/iron-bridge-real-estate/650a-sunset-beach-rd-wp_idm73000004-27204148-lst","images/650A_Sunset_Beach_RD__Iron_Bridge__ON.jpg"
"$349,900","1150 Lonsdale Avenue,","Sudbury","ON","3 bed 1 bath","https://www.remax.ca/on/sudbury-real-estate/1150-lonsdale-avenue-wp_idm73000004-27204145-lst","images/1150_Lonsdale_Avenue__Sudbury__ON.jpg"
"$399,900","45 Southwood DR,","Sault Ste. Marie","ON","4 bed 2 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/45-southwood-dr-wp_idm73000004-27204147-lst","images/45_Southwood_DR__Sault_Ste__Marie__ON.jpg"
"$499,700","18 Oliver Street,","Greater Sudbury","ON","4 bed 2 bath","https://www.remax.ca/on/greater-sudbury-real-estate/18-oliver-street-wp_idm73000004-27204142-lst","images/18_Oliver_Street__Greater_Sudbury__ON.jpg"
"$649,900","99 Matthews ST,","Thunder Bay","ON","3 bed 4 bath","https://www.remax.ca/luxury/on/thunder-bay-real-estate/99-matthews-st-wp_idm73000004-27203963-lst","images/99_Matthews_ST__Thunder_Bay__ON.jpg"
"$199,900","107 Hillside Avenue,","Sudbury","ON","2 bed 1 bath","https://www.remax.ca/on/sudbury-real-estate/107-hillside-avenue-wp_idm73000004-27203954-lst","images/107_Hillside_Avenue__Sudbury__ON.jpg"
"$449,900","162 Haliburton AVE W,","Temiskaming Shores","ON","3 bed 2 bath","https://www.remax.ca/on/temiskaming-shores-real-estate/162-haliburton-ave-w-wp_idm73000004-27203830-lst","No Image Available"
"$649,900","90 Queen ST,","Temiskaming Shores","ON","4 bed 3 bath","https://www.remax.ca/on/temiskaming-shores-real-estate/90-queen-st-wp_idm73000004-27203828-lst","No Image Available"
"$479,000","1 Fifth ST,","Kirkland Lake","ON","3 bed 2 bath","https://www.remax.ca/on/kirkland-lake-real-estate/1-fifth-st-wp_idm73000004-27203829-lst","No Image Available"
"$579,900","391 Levesque Street,","Sturgeon Falls","ON","n/a bed 0 bath","https://www.remax.ca/on/sturgeon-falls-real-estate/391-levesque-street-wp_idm73000004-27203819-lst","No Image Available"
"$219,000","6 Dell Street,","Sudbury","ON","2 bed 2 bath","https://www.remax.ca/on/sudbury-real-estate/6-dell-street-wp_idm73000004-27203685-lst","No Image Available"
"$229,000","0 Cut Line Trail,","RM of Reynolds","MB","0 bed 0 bath","https://www.remax.ca/mb/rm-of-reynolds-real-estate/0-cut-line-trail-wp_idm73000005-27203495-lst","No Image Available"
"$988,000","226 LAROCQUE ROAD,","North Bay","ON","5 bed 3 bath","https://www.remax.ca/luxury/on/north-bay-real-estate/226-larocque-road-wp_idm73000004-27203426-lst","No Image Available"
"$549,900","95 Harris CRES,","Dryden","ON","3 bed 3 bath","https://www.remax.ca/on/dryden-real-estate/95-harris-cres-wp_idm73000004-27202837-lst","No Image Available"
"$599,900","1984 Hunter Street,","Greater Sudbury","ON","4 bed 2 bath","https://www.remax.ca/on/greater-sudbury-real-estate/1984-hunter-street-wp_idm73000004-27202495-lst","No Image Available"
"$614,000","0 Hough Lake Road,","Temiskaming Shores","ON","n/a bed 0 bath","https://www.remax.ca/on/temiskaming-shores-real-estate/0-hough-lake-road-wp_idm73000004-27202494-lst","No Image Available"
"$229,000","0 Cut Line Trail,","RM of Reynolds","Ontario","0 bed 0 bath","https://www.remax.ca/mb/rm-of-reynolds-real-estate/0-cut-line-trail-wp_idm00000647-202417728-lst","No Image Available"
"$589,900","1877 Southview Drive,","Sudbury","ON","3 bed 2 bath","https://www.remax.ca/on/sudbury-real-estate/1877-southview-drive-wp_idm73000004-27012137-lst","No Image Available"
"$749,900","20 Birchwood CRES,","Kenora","ON","3 bed 2 bath","https://www.remax.ca/on/kenora-real-estate/20-birchwood-cres-wp_idm73000005-27202036-lst","images/20_Birchwood_CRES__Kenora__ON.jpg"
"$89,900","0 Georgina AVE,","Thunder Bay","ON","n/a bed 0 bath","https://www.remax.ca/on/thunder-bay-real-estate/0-georgina-ave-wp_idm73000004-27202039-lst","images/0_Georgina_AVE__Thunder_Bay__ON.jpg"
"$75,000","0 Hull AVE,","Thunder Bay","ON","n/a bed 0 bath","https://www.remax.ca/on/thunder-bay-real-estate/0-hull-ave-wp_idm73000005-27202040-lst","images/0_Hull_AVE__Thunder_Bay__ON.jpg"
"$79,000","01 Dublin AVE,","Thunder Bay","ON","n/a bed 0 bath","https://www.remax.ca/on/thunder-bay-real-estate/01-dublin-ave-wp_idm73000005-27202038-lst","images/01_Dublin_AVE__Thunder_Bay__ON.jpg"
"$359,900","37 Kingsmount BLVD,","Sault Ste Marie","ON","3 bed 1 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/37-kingsmount-blvd-wp_idm73000004-27202026-lst","No Image Available"
"$224,900","242 Teefy ST,","Iroquois Falls","ON","4 bed 2 bath","https://www.remax.ca/on/iroquois-falls-real-estate/242-teefy-st-wp_idm73000004-27202030-lst","No Image Available"
"$349,900","4 St. Michaels SQ,","Sault Ste Marie","ON","3 bed 2 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/4-st-michaels-sq-wp_idm73000004-27202027-lst","No Image Available"
"$299,900","1599 Queen ST E,","Sault Ste Marie","ON","4 bed 2 bath","https://www.remax.ca/on/sault-ste-marie-real-estate/1599-queen-st-e-wp_idm73000004-27202028-lst","No Image Available"
"$799,900","141 WALLACE HEIGHTS Drive,","North Bay","ON","5 bed 4 bath","https://www.remax.ca/on/north-bay-real-estate/141-wallace-heights-drive-wp_idm73000004-27201922-lst","No Image Available"
"$210,000","34 MILL Road,","Callander","ON","2 bed 1 bath","https://www.remax.ca/on/callander-real-estate/34-mill-road-wp_idm73000004-27201923-lst","No Image Available"
"$174,900","162 Kenogami RD,","Longlac","ON","1 bed 1 bath","https://www.remax.ca/on/longlac-real-estate/162-kenogami-rd-wp_idm73000004-27201874-lst","No Image Available"
"$1,399,900","2075 Foothill DR,","THUNDER BAY","ON","5 bed 3 bath","https://www.remax.ca/luxury/on/thunder-bay-real-estate/2075-foothill-dr-wp_idm73000004-27201875-lst","No Image Available"
"$22,900","55 David ST,","Jellicoe","ON","0 bed 0 bath","https://www.remax.ca/on/jellicoe-real-estate/55-david-st-wp_idm73000004-27201876-lst","No Image Available"
"$75,000","01 Carl AVE,","Thunder Bay","ON","n/a bed 0 bath","https://www.remax.ca/on/thunder-bay-real-estate/01-carl-ave-wp_idm73000005-27201877-lst","No Image Available"
"$79,000","0 Dublin AVE,","Thunder Bay","ON","n/a bed 0 bath","https://www.remax.ca/on/thunder-bay-real-estate/0-dublin-ave-wp_idm73000005-27201879-lst","No Image Available"
"$89,000","02 Carl AVE,","Thunder Bay","ON","n/a bed 0 bath","https://www.remax.ca/on/thunder-bay-real-estate/02-carl-ave-wp_idm73000004-27201878-lst","images/02_Carl_AVE__Thunder_Bay__ON.jpg"
"$358,000","165 Carter BLVD,","Temiskaming Shores","ON","4 bed 2 bath","https://www.remax.ca/on/temiskaming-shores-real-estate/165-carter-blvd-wp_idm73000004-27201822-lst","images/165_Carter_BLVD__Temiskaming_Shores__ON.jpg"
"$379,900","128 Churchill AVE,","Wawa","ON","4 bed 3 bath","https://www.remax.ca/on/wawa-real-estate/128-churchill-ave-wp_idm73000004-27201821-lst","images/128_Churchill_AVE__Wawa__ON.jpg"
"$439,900","1047 Stafford Street,","Greater Sudbury","ON","5 bed 3 bath","https://www.remax.ca/on/greater-sudbury-real-estate/1047-stafford-street-wp_idm73000004-27201812-lst","images/1047_Stafford_Street__Greater_Sudbury__ON.jpg"
"$369,900","422 MCLEOD Street,","North Bay","ON","3 bed 2 bath","https://www.remax.ca/on/north-bay-real-estate/422-mcleod-street-wp_idm73000004-27201676-lst","images/422_MCLEOD_Street__North_Bay__ON.jpg"
"$499,900","382 GREENHILL Avenue,","North Bay","ON","4 bed 2 bath","https://www.remax.ca/on/north-bay-real-estate/382-greenhill-avenue-wp_idm73000004-27201437-lst","images/382_GREENHILL_Avenue__North_Bay__ON.jpg"
"$354,900","467 LANSDOWNE Avenue,","North Bay","ON","4 bed 1 bath","https://www.remax.ca/on/north-bay-real-estate/467-lansdowne-avenue-wp_idm73000004-27201438-lst","No Image Available"
"$79,000","0 Carl AVE,","Thunder Bay","ON","n/a bed 0 bath","https://www.remax.ca/on/thunder-bay-real-estate/0-carl-ave-wp_idm73000004-27201408-lst","No Image Available"
"$79,000","0 Strand AVE,","Thunder Bay","ON","n/a bed 0 bath","https://www.remax.ca/on/thunder-bay-real-estate/0-strand-ave-wp_idm73000004-27201406-lst","No Image Available"
